Latitude,Longitude,EA_CODE
-12.198562108289819,33.42269113660196,10510038
-12.209066228477356,33.45245307240294,10510041
-12.205984550175025,33.472372503846174,10510020
-12.173937799763298,33.422067919024556,10510039
-12.195985957398802,33.4462186631347,10510040
-12.194872011070172,33.39674368384511,10510031
-12.17955202574473,33.38746105361771,10510029
-12.175827728442886,33.401978222441464,10510030
-12.155581685509253,33.38383038012658,10510027
-12.188224078191114,33.46866164385088,10510021
-12.147553164553822,33.406186860564645,10510026
-12.17324150392894,33.446842059009185,10510023
-12.156475493430863,33.43922874483496,10510025
-12.164807480853247,33.42896799619101,10510024
-12.153371907554401,33.48531058603031,10510017
-12.159595593804397,33.46935977744487,10510016
-12.14406710557579,33.457821096798185,10510015
-12.140756430623542,33.430005040072686,10510014
-12.127231362144931,33.4013942439669,10510012
